scene_id,acquisition,method,support_cells,model_support_cells,model_based_total,company_5pct_total_only,support_lost_vs_control,support_gained_vs_control,elapsed_ms_single_run,total_error_percent,common_spatial_error_percent,common_absolute_error_percent
pyramid_center,fixed3,baseline,400,0,False,False,0,0,15.674199996283278,17.499366355312972,31.45374050901729,27.45652845961761
pyramid_center,fixed3,surface_patches,382,12,False,,18,0,170.97619999549352,,30.189581428055483,25.18494901795047
pyramid_center,translated3_aimed,baseline,400,0,False,False,0,0,15.706099977251142,15.646402333757498,30.99098055790118,24.574429256411047
pyramid_center,translated3_aimed,surface_patches,384,8,False,,16,0,109.42110000178218,,31.569097739378236,19.915600718081276
pyramid_shifted_013,fixed3,baseline,400,0,False,True,0,0,17.740100010996684,1.856554932196601,30.292383649345112,8.686958560228913
pyramid_shifted_013,fixed3,surface_patches,376,39,False,,24,0,185.3543999895919,,45.977411101762264,13.043556795790554
pyramid_shifted_013,translated3_aimed,baseline,400,0,False,True,0,0,12.587400007760152,2.3237344316771362,26.525041584785587,3.898441127569581
pyramid_shifted_013,translated3_aimed,surface_patches,392,38,False,,8,0,144.5481999835465,,36.42448906873674,10.932912168758047
two_stacks,fixed3,baseline,400,0,False,True,0,0,18.079100002069026,2.530442168225632,55.86526811684448,5.9115723697207985
two_stacks,fixed3,surface_patches,354,28,False,,46,0,131.69559999369085,,59.254610644816175,16.972687143219815
two_stacks,translated3_aimed,baseline,400,0,False,True,0,0,13.398899987805635,1.6864386171430312,51.2915730021498,3.816259075026967
two_stacks,translated3_aimed,surface_patches,370,24,False,,30,0,84.19139997567981,,54.8010209538242,17.54581666594325
prism,fixed3,baseline,336,0,False,,0,0,10.99340000655502,,26.16195508360913,4.35985645318135
prism,fixed3,surface_patches,388,66,False,,2,54,150.66590000060387,,25.940340823824133,1.6263165204713876
prism,translated3_aimed,baseline,380,0,False,,0,0,14.375699975062162,,29.452460505344675,8.07061970677663
prism,translated3_aimed,surface_patches,400,26,True,True,0,20,142.92499999282882,1.548970578199537,29.431042587505058,5.780177685624518
ramp,fixed3,baseline,400,0,False,False,0,0,19.09769998746924,10.807518589827298,34.58372635181847,11.00509457538878
ramp,fixed3,surface_patches,399,51,False,,1,0,226.23770000063814,,35.948059031037005,12.25205804225065
ramp,translated3_aimed,baseline,400,0,False,False,0,0,13.323800027137622,10.908520366589745,34.09980827761914,10.908520366589745
ramp,translated3_aimed,surface_patches,400,48,True,False,0,0,164.72519998205826,12.592430750519155,35.500284152923975,12.592430750519155
layer,fixed3,baseline,256,0,False,,0,0,8.704300009412691,,0.2448064945335986,0.19735162257012762
layer,fixed3,surface_patches,256,0,False,,0,0,55.257100000744686,,0.1822046843613087,0.1822046843613087
layer,translated3_aimed,baseline,256,0,False,,0,0,19.871900003636256,,0.12707468168837563,0.04962499450885575
layer,translated3_aimed,surface_patches,256,0,False,,0,0,72.4290999933146,,0.059135296368943,0.059135296368943
pyramid_beam,fixed3,baseline,280,0,False,,0,0,8.462500001769513,,26.403749075618986,20.92006003725049
pyramid_beam,fixed3,surface_patches,271,6,False,,9,0,131.83810000191443,,25.49711484447486,19.282113251191387
pyramid_beam,translated3_aimed,baseline,384,0,False,,0,0,11.551200004760176,,31.408795706735404,22.463299448884026
pyramid_beam,translated3_aimed,surface_patches,369,15,False,,17,2,100.69880000082776,,30.445567069775887,17.766212216530597
layer_beam,fixed3,baseline,176,0,False,,0,0,6.095599994296208,,0.2353865954733632,0.18588580205044658
layer_beam,fixed3,surface_patches,176,0,False,,0,0,50.679200008744374,,0.16851212398927518,0.16851212398927518
layer_beam,translated3_aimed,baseline,240,0,False,,0,0,20.48909998848103,,0.13978227479076644,0.043037845271996736
layer_beam,translated3_aimed,surface_patches,240,0,False,,0,0,97.87670001969673,,0.05268507693514672,0.01942179218121361
pyramid_beam_dropout20,fixed3,baseline,240,0,False,,0,0,33.3227000082843,,34.36355629239268,33.56742902081212
pyramid_beam_dropout20,fixed3,surface_patches,225,3,False,,18,3,107.48659999808297,,34.36407817136447,33.58275095892914
pyramid_beam_dropout20,translated3_aimed,baseline,199,0,False,,0,0,12.682700005825609,,36.08495561362749,34.86600736032342
pyramid_beam_dropout20,translated3_aimed,surface_patches,178,3,False,,24,3,144.34020000044256,,36.7319032227226,35.97049653411709
