scene,arm,support_cells,total_eligible,total_absolute_error_percent,total_within_5pct,own_signed_error_percent,own_spatial_error_percent,own_cancellation_ratio,common_signed_error_percent,common_spatial_error_percent,common_cancellation_ratio,hull_min_x_m,hull_max_x_m,hull_min_y_m,hull_max_y_m,outside_hull_cells,inside_hull_unsupported_cells,raw_points,merged_points,merge_conflicts,elapsed_ms_single_run
pyramid_center,control_k4_plus_shared_center,400,True,5.819002945982563,False,5.819002945982563,6.663498388754112,1.1451271722339629,5.819002945982563,6.663498388754112,1.1451271722339629,0.006304383219237125,0.29369562870169186,0.004979999599502322,0.2950200123214266,0,0,208,208,0,9.776899998541921
pyramid_center,candidate_inset_diagonals_plus_shared_center,400,True,1.0925887681859072,True,1.0925887681859072,3.299208092570062,3.019624756025949,1.0925887681859072,3.299208092570062,3.019624756025949,0.006304383219237125,0.29369562870169186,0.004979999599502322,0.2950200123214266,0,0,260,260,0,9.047400002600625
pyramid_shifted_013,control_k4_plus_shared_center,400,True,3.089304120273835,True,-3.089304120273835,7.62332960320693,2.4676526837154507,-3.089304120273835,7.62332960320693,2.4676526837154507,0.006304383219237125,0.29369562870169186,0.004979999599502322,0.2950200123214266,0,0,208,208,0,7.932799999252893
pyramid_shifted_013,candidate_inset_diagonals_plus_shared_center,400,True,1.0327489369932985,True,-1.0327489369932985,6.525059773547877,6.318147169964328,-1.0327489369932985,6.525059773547877,6.318147169964328,0.006304383219237125,0.29369562870169186,0.004979999599502322,0.2950200123214266,0,0,260,260,0,19.317600002977997
two_stacks,control_k4_plus_shared_center,400,True,2.994200732071426,True,-2.994200732071426,9.779271327378483,3.266070715510466,-2.994200732071426,9.779271327378483,3.266070715510466,0.006304383219237125,0.29369562870169186,0.004979999599502322,0.2950200123214266,0,0,208,208,0,8.181199998944066
two_stacks,candidate_inset_diagonals_plus_shared_center,400,True,0.026966049529184515,True,0.026966049529184515,9.236431515406627,342.52075022744157,0.026966049529184515,9.236431515406627,342.52075022744157,0.006304383219237125,0.29369562870169186,0.004979999599502322,0.2950200123214266,0,0,260,260,0,10.017299995524809
prism,control_k4_plus_shared_center,400,True,36.38730268540007,False,36.38730268540007,36.51150323021316,1.003413293529529,36.38730268540007,36.51150323021316,1.003413293529529,0.006304383219237125,0.29369562870169186,0.004979999599502322,0.2950200123214266,0,0,208,208,0,7.912799992482178
prism,candidate_inset_diagonals_plus_shared_center,400,True,3.2627335552803407,True,-3.2627335552803407,21.13513035407982,6.477737147697875,-3.2627335552803407,21.13513035407982,6.477737147697875,0.006304383219237125,0.29369562870169186,0.004979999599502322,0.2950200123214266,0,0,260,260,0,9.596400006557815
ramp,control_k4_plus_shared_center,400,True,34.33175477943837,False,34.33175477943837,34.66630898951051,1.0097447454178052,34.33175477943837,34.66630898951051,1.0097447454178052,0.006304383219237125,0.29369562870169186,0.004979999599502322,0.2950200123214266,0,0,208,208,0,7.963300013216212
ramp,candidate_inset_diagonals_plus_shared_center,400,True,1.3391565979681794,True,1.3391565979681794,18.858709449668186,14.082527374529128,1.3391565979681794,18.858709449668186,14.082527374529128,0.006304383219237125,0.29369562870169186,0.004979999599502322,0.2950200123214266,0,0,260,260,0,9.61789999564644
layer,control_k4_plus_shared_center,324,False,,,0.19036828730195948,0.25400899049984216,1.3343030716924855,0.19036828730195948,0.25400899049984216,1.3343030716924855,0.015810146980951068,0.2841898574893973,0.015810146980951068,0.2841898574893973,76,0,260,260,0,8.724700004677288
layer,candidate_inset_diagonals_plus_shared_center,400,True,0.11721789254720172,True,0.11721789254720172,0.2361200097533169,2.0143683240016896,0.16172668757730865,0.23193366222303968,1.4341087775768033,0.005954243847522148,0.2940457531722456,0.00462986022778733,0.29537013679198043,0,0,320,320,0,10.217599992756732
pyramid_beam,control_k4_plus_shared_center,400,True,4.304999137943099,True,4.304999137943099,7.79289549386179,1.8101967605933562,4.304999137943099,7.79289549386179,1.8101967605933562,0.006304383219237125,0.29369562870169186,0.004979999599502322,0.2950200123214266,0,0,176,176,0,7.18429998960346
pyramid_beam,candidate_inset_diagonals_plus_shared_center,400,True,2.789201531722167,True,2.789201531722167,8.720069395617795,3.126367634766667,2.789201531722167,8.720069395617795,3.126367634766667,0.006304383219237125,0.29369562870169186,0.004979999599502322,0.2950200123214266,0,0,210,210,0,7.786699992720969
layer_beam,control_k4_plus_shared_center,324,False,,,0.19357639452892056,0.24675388310078525,1.274710605604961,0.19357639452892056,0.24675388310078525,1.274710605604961,0.015810146980951068,0.2841898574893973,0.015810146980951068,0.2841898574893973,76,0,224,224,0,8.263399999123067
layer_beam,candidate_inset_diagonals_plus_shared_center,400,True,0.1406786976581726,True,0.1406786976581726,0.2603983303263382,1.8510146501289466,0.18525786867902802,0.25714892544519785,1.3880593967683286,0.005954243847522148,0.2940457531722456,0.00462986022778733,0.29537013679198043,0,0,264,264,0,9.323499994934537
pyramid_beam_dropout20,control_k4_plus_shared_center,400,True,1.7752091150225444,True,1.7752091150225444,10.425187705945008,5.872653321641272,1.7752091150225444,10.425187705945008,5.872653321641272,0.006304383219237125,0.29369562870169186,0.004979999599502322,0.2950200123214266,0,0,139,139,0,7.01610000396613
pyramid_beam_dropout20,candidate_inset_diagonals_plus_shared_center,400,True,3.0908259543952026,True,3.0908259543952026,10.024780317898662,3.2433985173585294,3.0908259543952026,10.024780317898662,3.2433985173585294,0.006304383219237125,0.29369562870169186,0.004979999599502322,0.2950200123214266,0,0,161,161,0,8.255900000222027
