scene,shape,fill,obstacle,dropout,support_cells,total_eligible,total_absolute_error_percent,primary_scene_pass,own_signed_error_percent,own_spatial_error_percent,own_cancellation_ratio,unsupported_truth_volume_m3,invalid_frames,unavailable_views,raw_points,merged_points,merge_conflicts,elapsed_ms_single_run
r007_pyramid_low_left,0,25,0,0,400,True,2.1690272388628173,True,2.1690272388628173,3.6480445308931055,1.6818804602959763,0,0,0,260,260,0,56.050600003800355
r007_pyramid_high_right,0,95,0,0,400,True,0.5683130121326959,True,-0.5683130121326959,3.1904764144716693,5.613942222612213,0,0,0,260,260,0,11.856700002681464
r007_pyramid_mid_right_beam,0,55,1,0,400,True,8.615764186423764,False,-8.615764186423764,12.73490056661527,1.4780929806182728,0,0,0,210,210,0,22.487900001578964
r007_pyramid_high_left_dropout35,0,85,0,35,385,False,,False,-0.7500248318671456,8.286742927563079,11.048624759441214,0.0,0,0,172,172,0,9.55999999132473
r007_two_stacks_low,1,30,0,0,400,True,0.8805399039924718,True,-0.8805399039924718,9.492684458391498,10.78052728258032,0,0,0,260,260,0,14.823100005742162
r007_two_stacks_high_beam,1,90,1,0,400,True,6.834306764050141,False,-6.834306764050141,15.42392354940874,2.2568380498431457,0,0,0,210,210,0,12.714199998299591
r007_prism_low_left,2,35,0,0,400,True,10.104791436905572,False,10.104791436905572,20.30707474165977,2.0096480831353483,0,0,0,260,260,0,15.782400005264208
r007_prism_high_right_beam_dropout10,2,90,1,10,339,False,,False,6.300719136627074,18.267412850203833,2.8992583948096464,0.0005062500000000001,0,0,193,193,0,12.107899994589388
r007_ramp_low_left_beam,3,25,1,0,400,True,41.77032544371676,False,41.77032544371676,43.49606184652674,1.0413148900440174,0,0,0,210,210,0,11.347199993906543
r007_ramp_high_right_dropout25,3,95,0,25,344,False,,False,1.5886288998897338,7.307197333717549,4.599688029233724,0.00019225625000000014,0,0,200,200,0,12.016900000162423
r007_layer_low_dropout10,4,20,0,10,324,False,,False,-0.013561270736273464,0.42126859750934936,31.064094634033594,0.000342,0,0,239,239,0,12.144799999077804
r007_layer_high_beam_dropout30,4,90,1,30,320,False,,False,0.10270145837331067,0.19504321394088814,1.8991279873740776,0.0016200000000000012,0,0,186,186,0,10.76669999747537
